緯度,経度,店名,紹介文,住所,電話番号,営業時間,テイクアウト営業時間,ジャンル,支払い方法,価格帯,Instagram,Twitter,公式サイト,Ref
35.019655,135.676313,ほっかほっか亭 嵯峨小学校前店,,京都府京都市右京区嵯峨天龍寺瀬戸川町17-26,075-862-2120,9:45 ～ 20:45（L.O.20:30）,,お弁当,現金/PayPay,,hokka_sagasyomae,,https://hokka-sagasyomae.amebaownd.com/,"Survay,Web"
35.020687,135.680578,MAHA CURRY 嵯峨嵐山,,京都府京都市右京区嵯峨大覚寺門前八軒町17-4　アークハイツ嵯峨嵐山1F,075-432-8088,11:00〜15:00、17:00〜22:30（L.O.22:00）,,インドカレー,現金,,,,http://www.mahacurry.com/,"Survay,Web"
35.019633,135.676152,ル ブション ティ マサコ,要予約,京都府京都市右京区嵯峨天龍寺瀬戸川町17,075-871-5323,11:30～14:00,,ビストロ,現金,,le_bouchon_t_masako,,,"Survay,Web"
35.020446,135.680782,洋食　西原,,京都府京都市右京区嵯峨天龍寺若宮町21-2 シャトー嵯峨1F,075-872-5020,11:30～14:30、17:00～22:00、定休日：月曜,,ビストロ,現金,,,,,Survay
35.017375,135.686854,こころ鶏料理店,,京都府京都市右京区嵯峨折戸町24 ジョイ木村1F,075-864-3670,11:30～14:30、16:00～19:00,,からあげ、居酒屋,現金,,,,,Survay
35.014273,135.690792,cafe GROW Arashiyama,,京都府京都市右京区嵯峨明星町1-1京都バス本社１F,075-872-7300,08:00～22:00（L.O.21:00）,,カフェ,現金/PayPay,,cafe_grow_arashiyama,cafe_grow,https://cafegrow.owst.jp/,"Survay,Web,ビラ"
35.017199,135.686457,パン処太陽,,京都府京都市右京区嵯峨折戸町27-9,075-861-1869 ,07:30〜18:00、定休日：火曜、水曜,,パン,現金,,pan_taiyo,pan_taiyo,,"Survay,Web"
35.017041,135.685905,パンドレ,,京都府京都市右京区嵯峨折戸町29-4,075-861-9070,06:30～18:30、定休日：火曜,,パン,現金,,,,http://www.paindelait.com/shop/saga.html,"Survay,Web"
35.017142,135.69158,おいで家,,京都府京都市右京区嵯峨苅分町9-11,075-873-2800,11:30～14:00、17:30～22:00、定休日：木曜,,居酒屋、和食,現金,,,,,Survay
35.016351,135.679038,マルシェ,,京都府京都市右京区嵯峨天龍寺北造路町5-3,075-862-0824,09:00～17:00、定休日：日曜、月曜,,パン,現金,,,,http://timeworksupportc.net/%E5%BA%97%E8%88%97%E6%A1%88%E5%86%85/marche%EF%BC%88%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7%EF%BC%89/,"Survay,Web"
35.01451,135.677729,新渡月橋,,京都府京都市右京区嵯峨天龍寺造路町20-40,075-882-9884,11:00～16:00、定休日：木曜,,うどん、和食,現金,,shintogetsu,shintogetu,https://shintogetsu.net/,"Survay,Web"
35.014431,135.678185,嵐山のむら,,京都府京都市右京区嵯峨天龍寺造路町35-20,075-881-1651,10:30～17:00（L.O.16:30）、定休日：火曜、水曜,11:00～17:00,ねぎ焼、カフェ,現金,,,,http://www.arashiyama-nomura.com/,"Survay,Web,ビラ"
35.016399,135.680304,中村屋総本店,,京都府京都市右京区嵯峨天龍寺龍門町20,075-861-1888,09:00 ～19:00、定休日：水曜,,コロッケ、肉屋,現金,,,,https://nakamuraya-souhonten.jimdo.com/,"Survay,Web"
35.016342,135.679897,中村屋惣菜製作所,,京都府京都市右京区嵯峨天龍寺造路町1,075-863-1888,08:00 ～18:00、定休日：月曜,,惣菜パン,現金,,,,https://nakamuraya-souhonten.jimdo.com/,"Survay,Web"
35.019453,135.675825,味生,,,075-881-0240,11:30～14:30、17:00～21:00 定休日：水曜、第二火曜,,和食,現金/PayPay,,,,,Survay
35.015429,135.677424,ぎゃあてい,,京都市右京区嵯峨天竜寺造路町19-8,075-862-2411,10:00～15:00、定休日：水曜,,"おばんざい,和食",現金/PayPay,,gyatei_arashiyama,gyatei2411,http://arashiyama-gyatei.com/,"Survay,Web"
35.017217,135.685706,スープとお惣菜 PanBoo,,京都府京都市右京区嵯峨北堀町20-102 アドニス嵯峨106,075-366-3880,11:00〜18:30、定休日：日曜、月曜,,"惣菜,和食",現金,,panboo2018,,,"Survay,Web"
35.018992,135.676184,Pizzeria Lugara,,,075-203-9391,11:00～18:00（L.O.15:00）、定休日：水曜、木曜,,ピザ,現金,,pizzeria_lugara,,https://www.facebook.com/LugaraFMJ/,"Survay,Web"
35.014493,135.699579,餃子の王将　太秦店,,京都府京都市右京区太秦御所ノ内町26,075-881-4957,11:00～22:00（L.O.21:45）,,中華,現金,,,,http://map.ohsho.co.jp/b/ohsho/info/1014/,"Survay,Web"
35.01437,135.69673,ガスト 京都嵯峨野店,,京都府京都市右京区嵯峨野神ノ木町29-1,075-864-6361,08:00～02:00,,ファミレス,現金/電子マネー,,,,https://store-info.skylark.co.jp/gusto/map/018828,"Survay,Web"
35.01701,135.68135,嵯峨野湯,,京都府京都市右京区嵯峨天龍寺今堀町4-3,075-882-8985,11:00～20:00（L.O.19:00）,,カフェ,現金,,saganoyu_official,saganoyu,http://www.sagano-yu.com/,"Survay,Web"
